Easting,Northing,Depth,PHI,Vsh
504000,6856000,959.56,0.220545455,0.66
504000,6856000,959.71,0.23569697,0.69
504000,6856000,959.86,0.248787879,0.72
504000,6856000,960.02,0.241575758,0.62
504000,6856000,960.17,0.230909091,0.61
504000,6856000,960.32,0.22169697,0.68
504000,6856000,960.47,0.219757576,0.68
504000,6856000,960.63,0.212181818,0.66
504000,6856000,960.78,0.200121212,0.65
504000,6856000,960.93,0.212181818,0.66
504000,6856000,961.08,0.214060606,0.68
504000,6856000,961.24,0.188363636,0.71
504000,6856000,961.39,0.162787879,0.67
504000,6856000,961.54,0.167515152,0.61
504000,6856000,961.69,0.188424242,0.69
504000,6856000,961.85,0.191030303,0.69
504000,6856000,962,0.189939394,0.63
504000,6856000,962.15,0.198909091,0.69
504000,6856000,962.3,0.201515152,0.69
504000,6856000,962.45,0.201212121,0.72
504000,6856000,962.61,0.207272727,0.71
504000,6856000,962.76,0.191939394,0.64
504000,6856000,962.91,0.192424242,0.6
504000,6856000,963.06,0.195757576,0.61
504000,6856000,963.22,0.190121212,0.62
504000,6856000,963.37,0.197333333,0.62
504000,6856000,963.52,0.185757576,0.63
504000,6856000,963.67,0.193515152,0.6
504000,6856000,963.83,0.199212121,0.62
504000,6856000,963.98,0.193515152,0.66
504000,6856000,964.13,0.205151515,0.65
504000,6856000,964.28,0.199575758,0.65
504000,6856000,964.44,0.209878788,0.68
504000,6856000,964.59,0.211636364,0.65
504000,6856000,964.74,0.195333333,0.64
504000,6856000,964.89,0.210121212,0.64
504000,6856000,965.05,0.225878788,0.62
504000,6856000,965.2,0.206666667,0.66
504000,6856000,965.35,0.212787879,0.64
504000,6856000,965.5,0.224121212,0.68
504000,6856000,965.66,0.230181818,0.66
504000,6856000,965.81,0.206363636,0.6
504000,6856000,965.96,0.206424242,0.63
504000,6856000,966.11,0.235636364,0.66
504000,6856000,966.26,0.224606061,0.62
504000,6856000,966.42,0.20630303,0.62
504000,6856000,966.57,0.214424242,0.69
504000,6856000,966.72,0.21630303,0.66
504000,6856000,966.87,0.152606061,0.61
504000,6856000,967.03,0.029090909,0.6
504000,6856000,967.18,0.067939394,0.61
504000,6856000,967.33,0.150060606,0.65
504000,6856000,967.48,0.153030303,0.65
504000,6856000,967.64,0.18830303,0.65
504000,6856000,967.79,0.214060606,0.66
504000,6856000,967.94,0.195454545,0.65
504000,6856000,968.09,0.173878788,0.64
504000,6856000,968.25,0.186121212,0.66
504000,6856000,968.4,0.206,0.66
504000,6856000,968.55,0.212,0.65
504000,6856000,968.7,0.233333333,0.65
504000,6856000,968.86,0.207333333,0.65
504000,6856000,969.01,0.182363636,0.64
504000,6856000,969.16,0.208121212,0.64
504000,6856000,969.31,0.221818182,0.65
504000,6856000,969.47,0.213939394,0.65
504000,6856000,969.62,0.210484848,0.64
504000,6856000,969.77,0.200727273,0.66
504000,6856000,969.92,0.199636364,0.69
504000,6856000,970.07,0.204424242,0.65
504000,6856000,970.23,0.201636364,0.62
504000,6856000,970.38,0.195757576,0.63
504000,6856000,970.53,0.200424242,0.61
504000,6856000,970.68,0.199575758,0.63
504000,6856000,970.84,0.19569697,0.64
504000,6856000,970.99,0.193575758,0.63
504000,6856000,971.14,0.186666667,0.62
504000,6856000,971.29,0.192606061,0.61
504000,6856000,971.45,0.218121212,0.66
504000,6856000,971.6,0.216121212,0.67
504000,6856000,971.75,0.211090909,0.66
504000,6856000,971.9,0.207090909,0.67
504000,6856000,972.06,0.192787879,0.61
504000,6856000,972.21,0.188848485,0.6
504000,6856000,972.36,0.188666667,0.64
504000,6856000,972.51,0.186969697,0.65
504000,6856000,972.67,0.186909091,0.68
504000,6856000,972.82,0.180121212,0.68
504000,6856000,972.97,0.196424242,0.65
504000,6856000,973.12,0.204242424,0.64
504000,6856000,973.28,0.198969697,0.66
504000,6856000,973.43,0.196424242,0.67
504000,6856000,973.58,0.210727273,0.67
504000,6856000,973.73,0.229090909,0.67
504000,6856000,973.88,0.221151515,0.68
504000,6856000,974.04,0.202545455,0.67
504000,6856000,974.19,0.18630303,0.64
504000,6856000,974.34,0.179757576,0.64
504000,6856000,974.49,0.197757576,0.67
504000,6856000,974.65,0.204121212,0.63
504000,6856000,974.8,0.189939394,0.6
504000,6856000,974.95,0.199030303,0.65
504000,6856000,975.1,0.21969697,0.64
504000,6856000,975.26,0.235454545,0.62
504000,6856000,975.41,0.243272727,0.62
504000,6856000,975.56,0.244606061,0.66
504000,6856000,975.71,0.244242424,0.67
504000,6856000,975.87,0.25,0.64
504000,6856000,976.02,0.259151515,0.66
504000,6856000,976.17,0.258727273,0.67
504000,6856000,976.32,0.23769697,0.65
504000,6856000,976.48,0.220424242,0.63
504000,6856000,976.63,0.218545455,0.62
504000,6856000,976.78,0.217333333,0.63
504000,6856000,976.93,0.213333333,0.63
504000,6856000,977.09,0.203030303,0.6
504000,6856000,977.24,0.194484848,0.67
504000,6856000,977.39,0.205515152,0.69
504000,6856000,977.54,0.200181818,0.64
504000,6856000,977.69,0.200666667,0.64
504000,6856000,977.85,0.209393939,0.59
504000,6856000,978,0.208606061,0.62
504000,6856000,978.15,0.213515152,0.66
504000,6856000,978.3,0.221393939,0.69
504000,6856000,978.46,0.216909091,0.71
504000,6856000,978.61,0.207454545,0.66
504000,6856000,978.76,0.205333333,0.62
504000,6856000,978.91,0.210242424,0.62
504000,6856000,979.07,0.209333333,0.61
504000,6856000,979.22,0.214666667,0.64
504000,6856000,979.37,0.220606061,0.68
504000,6856000,979.52,0.223757576,0.71
504000,6856000,979.68,0.214848485,0.67
504000,6856000,979.83,0.199272727,0.6
504000,6856000,979.98,0.183212121,0.63
504000,6856000,980.13,0.175515152,0.7
504000,6856000,980.29,0.18230303,0.66
504000,6856000,980.44,0.181454545,0.62
504000,6856000,980.59,0.187272727,0.63
504000,6856000,980.74,0.161090909,0.64
504000,6856000,980.9,0.154060606,0.6
504000,6856000,981.05,0.179151515,0.63
504000,6856000,981.2,0.197212121,0.65
504000,6856000,981.35,0.228545455,0.64
504000,6856000,981.5,0.237030303,0.64
504000,6856000,981.66,0.236424242,0.63
504000,6856000,981.81,0.23230303,0.61
504000,6856000,981.96,0.227575758,0.6
